Latitude,Longitude,Location,CID,Type
16.5408,105.1272,"Banh|LA02|Laos","4185","ccafs_sites"
18.3532,102.458,"Ekxang|LA01|Laos","4184","ccafs_sites"
13.1842,103.2463,"Rohar|kh01|Cambodia","4183","ccafs_sites"
29.706555,76.955513,"Measuring greenhouse gas emissions from smallholder...|July 11, 2014","4346","photo_testimonials"
-0.0917016,34.76795679999998,"Grandma Peris Owiti and her powerful...|July 11, 2014","4268","amkn_blog_posts"
-1.798372,37.611179,"Sorghum &#8211; Legume trials in Wote &#8211; Makueni, Eastern...|July 10, 2014","4347","photo_testimonials"
0,0,"CARE-CCAFS in Gender &amp; Participatory Research in...|July 10, 2014","4348","photo_testimonials"
15.2,-87.883333,"SantaRita|HO01|Honduras","4167","ccafs_sites"
13.1333,-85.7333,"Tuma|NIC01|Nicaragua","4165","ccafs_sites"
14.6914,-89.4997,"Olopa|GU01|Guatemala","4163","ccafs_sites"
0,0,"Visit to climate smart farm sites in Western...|July 7, 2014","4349","photo_testimonials"
0,0,"Media visit to Nyando Climate-Smart Villages &#8211; June...|June 30, 2014","4350","photo_testimonials"
0,0,"Social learning evidence gathering workshop June (Instagram...|June 17, 2014","4351","photo_testimonials"
0,0,"#SB40 Side event: Planning climate adaptation in...|June 13, 2014","4352","photo_testimonials"
0,0,"#SB40 Side event: Advancing readiness to fast-track climate-smart agriculture...|June 8, 2014","4353","photo_testimonials"
0,0,"Climate talks in Warsaw, Poland...|June 8, 2014","4354","photo_testimonials"
0,0,"UNFCCC side event: national adaptation planning in...|June 8, 2014","4355","photo_testimonials"
-0.667,31.44,"Building climate smart farming systems in Rakai...|Piet van Asten|4.1","4125","ccafs_activities"
22.615,86.374,"Gender inequality: A barrier to climate adaptation...|Paula Kantor#Benoy Barman|1","4126","ccafs_activities"
-1.581,37.326,"Participatory Evaluation and Promotion of integrated...|Mary Mgonja|2","4122","ccafs_activities"
-0.315,35.022,"Increasing Women&#8217;s Resilience to Confront Climate...|Claudia Ringler#Elizabeth Bryan|4.1","4123","ccafs_activities"
10.596,-2.768,"Increasing Women&#8217;s Resilience to Confront Climate...|Claudia Ringler#Elizabeth Bryan|4.1","4123","ccafs_activities"
22.615,86.374,"Increasing Women&#8217;s Resilience to Confront Climate...|Claudia Ringler#Elizabeth Bryan|4.1","4123","ccafs_activities"
13.691,-2.252,"Tailoring Climate information to the needs of West African...|Seydou Traoré|2","4113","ccafs_activities"
13.368,-5.762,"Tailoring Climate information to the needs of West African...|Seydou Traoré|2","4113","ccafs_activities"
14.106,-15.54,"Tailoring Climate information to the needs of West African...|Seydou Traoré|2","4113","ccafs_activities"
13.691,-2.252,"Developing community-based climate smart agriculture...|Jules Bayala|3","4114","ccafs_activities"
10.596,-2.768,"Developing community-based climate smart agriculture...|Jules Bayala|3","4114","ccafs_activities"
13.368,-5.762,"Developing community-based climate smart agriculture...|Jules Bayala|3","4114","ccafs_activities"
13.691,-2.252,"Development of green house gas quantification methods at...|Kalifa Traore#Jesse Naab#Samuel Adiku#Zacharia Gnankambary#Pierre Akponikpè#Check Mbow|3","4115","ccafs_activities"
10.596,-2.768,"Development of green house gas quantification methods at...|Kalifa Traore#Jesse Naab#Samuel Adiku#Zacharia Gnankambary#Pierre Akponikpè#Check Mbow|3","4115","ccafs_activities"
13.368,-5.762,"Development of green house gas quantification methods at...|Kalifa Traore#Jesse Naab#Samuel Adiku#Zacharia Gnankambary#Pierre Akponikpè#Check Mbow|3","4115","ccafs_activities"
14.106,-15.54,"Development of green house gas quantification methods at...|Kalifa Traore#Jesse Naab#Samuel Adiku#Zacharia Gnankambary#Pierre Akponikpè#Check Mbow|3","4115","ccafs_activities"
13.691,-2.252,"Developing community-based climate smart agriculture...|Jules Bayala|4.1","4117","ccafs_activities"
10.596,-2.768,"Developing community-based climate smart agriculture...|Jules Bayala|4.1","4117","ccafs_activities"
13.368,-5.762,"Developing community-based climate smart agriculture...|Jules Bayala|4.1","4117","ccafs_activities"
13.517,2.687,"Developing community-based climate smart agriculture...|Jules Bayala|4.1","4117","ccafs_activities"
14.106,-15.54,"Developing community-based climate smart agriculture...|Jules Bayala|4.1","4117","ccafs_activities"
13.691,-2.252,"Household detailed characterization: IMPACT...|Mariana Rufino|4.2","4118","ccafs_activities"
10.596,-2.768,"Household detailed characterization: IMPACT...|Mariana Rufino|4.2","4118","ccafs_activities"
13.368,-5.762,"Household detailed characterization: IMPACT...|Mariana Rufino|4.2","4118","ccafs_activities"
13.517,2.687,"Household detailed characterization: IMPACT...|Mariana Rufino|4.2","4118","ccafs_activities"
14.106,-15.54,"Household detailed characterization: IMPACT...|Mariana Rufino|4.2","4118","ccafs_activities"
-4.82,38.359,"Development of a method to study farmer&#8217;s social,...|Valerie Nelson|1","4108","ccafs_activities"
10.596,-2.768,"Development of a method to study farmer&#8217;s social,...|Valerie Nelson|1","4108","ccafs_activities"
10.596,-2.768,"Farms of the future approach: Understanding social and...|Jesse Naab|1","4111","ccafs_activities"
14.106,-15.54,"Consolidating seasonal forecast communication workshop and...|Ousmane Ndiaye|2","4112","ccafs_activities"
-0.315,35.022,"Demonstrating a generic framework and tools for modeling...|Mario Herrero|4.2","4092","ccafs_activities"
-1.581,37.326,"Demonstrating a generic framework and tools for modeling...|Mario Herrero|4.2","4092","ccafs_activities"
4.822,38.43,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
-0.315,35.022,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
-1.581,37.326,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
1.49,31.501,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
-0.667,31.44,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
-4.82,38.359,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
13.691,-2.252,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
10.596,-2.768,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
13.368,-5.762,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
13.517,2.687,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
14.106,-15.54,"Landhealth and local adaptive...|Patti Kristjanson|4.1","4080","ccafs_activities"
22.4,89.137,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.4,89.087,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.615,86.374,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.506,89.86,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.477,90.12,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.05,90.199,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
21.62,92,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
13.691,-2.252,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
4.822,38.43,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
10.596,-2.768,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
25.54,84.902,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
25.366,84.39,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
28.959,86.202,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
26.29,84.204,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
25.98,85.73,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
25.96,86.74,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
25.562,87.541,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
30.186,75.921,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
-0.315,35.022,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
-1.581,37.326,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
13.368,-5.762,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
13.517,2.687,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
26.62,87.224,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
27,85.62,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
27.54,83.45,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
28.139,81.63,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
28.93,80.365,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
14.106,-15.54,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
-4.82,38.359,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
1.49,31.501,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
-0.667,31.44,"Developing generic tools for characterizing agricultural...|Mariana Rufino|4.2","4086","ccafs_activities"
22.4,89.137,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
22.4,89.087,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
22.615,86.374,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
22.506,89.86,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
22.477,90.12,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
22.05,90.199,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
21.62,92,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
13.691,-2.252,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
4.822,38.43,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
10.596,-2.768,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
25.54,84.902,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
25.366,84.39,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
28.959,86.202,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
26.29,84.204,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
25.98,85.73,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
25.96,86.74,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
25.562,87.541,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
30.186,75.921,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
-0.315,35.022,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
-1.581,37.326,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
13.368,-5.762,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
13.517,2.687,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
26.62,87.224,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
27,85.62,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
27.54,83.45,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
28.139,81.63,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
28.93,80.365,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
14.106,-15.54,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
-4.82,38.359,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
1.49,31.501,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
-0.667,31.44,"Engagement and communication approaches, knowledge networks...|Patti Kristjanson|4.1","4079","ccafs_activities"
4.822,38.43,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-0.315,35.022,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-1.581,37.326,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
1.49,31.501,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-0.667,31.44,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-4.82,38.359,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.691,-2.252,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
10.596,-2.768,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.368,-5.762,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.517,2.687,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
14.106,-15.54,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.4,89.137,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.4,89.087,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.615,86.374,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.506,89.86,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.477,90.12,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.05,90.199,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
21.62,92,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.691,-2.252,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
4.822,38.43,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
10.596,-2.768,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
25.54,84.902,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
25.366,84.39,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
28.959,86.202,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
26.29,84.204,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
25.98,85.73,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
25.96,86.74,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
25.562,87.541,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
30.186,75.921,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-0.315,35.022,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-1.581,37.326,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.368,-5.762,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
13.517,2.687,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
26.62,87.224,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
27,85.62,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
27.54,83.45,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
28.139,81.63,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
28.93,80.365,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
14.106,-15.54,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-4.82,38.359,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
1.49,31.501,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
-0.667,31.44,"Investment mechanisms for delivering capital that supports...|Lou Munden|3","4060","ccafs_activities"
22.506,89.86,"Reducing the GHG impacts of sustainable intensification...|Pramod Aggarwal|3","4061","ccafs_activities"
-0.315,35.022,"Incentives for adoption of agroforestry (with Theme...|Quinn Bernier|3","4056","ccafs_activities"
22.4,89.137,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
22.4,89.087,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
22.615,86.374,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
22.506,89.86,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
22.477,90.12,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
22.05,90.199,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
21.62,92,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
13.691,-2.252,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
4.822,38.43,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
10.596,-2.768,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
25.54,84.902,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
25.366,84.39,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
28.959,86.202,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
26.29,84.204,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
25.98,85.73,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
25.96,86.74,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
25.562,87.541,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
30.186,75.921,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
-0.315,35.022,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
-1.581,37.326,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
13.368,-5.762,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
13.517,2.687,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
26.62,87.224,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
27,85.62,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
27.54,83.45,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
28.139,81.63,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
28.93,80.365,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
14.106,-15.54,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
-4.82,38.359,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
1.49,31.501,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
-0.667,31.44,"CCAFS baselines and site characterizations&#8211;existing...|Wiebke Foerch|4.2","4050","ccafs_activities"
26.62,87.224,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
27,85.62,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
27.54,83.45,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
28.139,81.63,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
28.93,80.365,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
25.54,84.902,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
25.366,84.39,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
28.959,86.202,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
26.29,84.204,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
25.98,85.73,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
25.96,86.74,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
25.562,87.541,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
30.186,75.921,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.4,89.137,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.4,89.087,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.615,86.374,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.506,89.86,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.477,90.12,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.05,90.199,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
21.62,92,"Impact assessment of cimate change on specific crops in...|Pramod K Aggarwal#Gopal D Bhatta#Amit Srivastava|4.2","4037","ccafs_activities"
22.4,89.137,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
22.4,89.087,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
22.615,86.374,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
22.506,89.86,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
22.477,90.12,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
22.05,90.199,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
21.62,92,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
25.54,84.902,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
25.366,84.39,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
28.959,86.202,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
26.29,84.204,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
25.98,85.73,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
25.96,86.74,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
25.562,87.541,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
30.186,75.921,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
26.62,87.224,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
27,85.62,"Regional database on soils, historic climate parameters and...|Pramod K Aggarwal|4.2","4036","ccafs_activities"
